date,market cap,btc cap,alt cap,eth cap,btc share,alt share,eth share
2016-11-22,13714121058.0,11834200064.0,1879920994.0,829616000.0,86.29207817220363,13.707921827796365,6.04935596303528
2016-11-23,13936786648.0,12028999680.0,1907786968.0,855265024.0,86.31114175609643,13.68885824390357,6.136744757606912
2016-11-25,13680950624.0,11851100160.0,1829850464.0,796268032.0,86.62482955833522,13.375170441664771,5.820268297753635
2016-11-28,13553720673.0,11727800320.0,1825920353.0,777310976.0,86.52827222094545,13.471727779054548,5.735037594130593
2016-11-29,13593199566.0,11790900224.0,1802299342.0,754307008.0,86.74116911732833,13.258830882671674,5.549149810812098
2016-11-30,13526314417.0,11791599616.0,1734714801.0,705040000.0,87.17525892478298,12.824741075217016,5.212358505535692
2016-12-01,13732632995.0,11949200384.0,1783432611.0,743881984.0,87.01317794155469,12.986822058445318,5.416892625549992
2016-12-02,13898965307.0,12134800384.0,1764164923.0,731520000.0,87.30722119213071,12.692778807869285,5.263125591309889
2016-12-05,14061624478.0,12393100288.0,1668524190.0,641820032.0,88.13420033645134,11.86579966354866,4.56433773355386
2016-12-06,13756121950.0,12159399936.0,1596722014.0,589548032.0,88.3926442364812,11.607355763518802,4.285713910816267
2016-12-07,13941907747.0,12248899584.0,1693008163.0,684257984.0,87.85669656030898,12.14330343969102,4.907922189825404
2016-12-08,14078801722.0,12312500224.0,1766301498.0,726878016.0,87.45417733073178,12.545822669268217,5.162925299701866
2016-12-09,14103981868.0,12344000512.0,1759981356.0,708467968.0,87.52138670857798,12.478613291422022,5.023176962581161
2016-12-12,14105515602.0,12349800448.0,1755715154.0,711347968.0,87.55298846536982,12.447011534630184,5.043048322878314
2016-12-13,14309469173.0,12521499648.0,1787969525.0,740099008.0,87.50499055287352,12.49500944712647,5.172092682490732
2016-12-14,14296149516.0,12512900096.0,1783249420.0,734382016.0,87.52636562730252,12.473634372697477,5.136921764689804
2016-12-15,14281485886.0,12511699968.0,1769785918.0,715860992.0,87.60783064082356,12.39216935917644,5.012510586883341
2016-12-16,14245899213.0,12498799616.0,1747099597.0,683398976.0,87.73612271940198,12.263877280598026,4.797162788968554
2016-12-19,14449164919.0,12691099648.0,1758065271.0,685054016.0,87.83275517405006,12.16724482594993,4.741132237332172
2016-12-20,14464530407.0,12717599744.0,1746930663.0,664771968.0,87.92265898826147,12.077341011738522,4.59587659809743
2016-12-21,14595072489.0,12853699584.0,1741372905.0,667625024.0,88.06876151994149,11.9312384800585,4.574317972748508
2016-12-22,15154246920.0,13393800192.0,1760446728.0,688380032.0,88.38314607585924,11.61685392414076,4.5424892152938465
2016-12-23,15622557170.0,13888600064.0,1733957106.0,660545984.0,88.9009392820164,11.099060717983598,4.228155332140161
2016-12-27,16363610366.0,14593300480.0,1770309886.0,635260032.0,89.1814223976005,10.818577602399507,3.8821508077455285
2016-12-28,16806923558.0,15020499968.0,1786423590.0,624358976.0,89.37090667524532,10.629093324754683,3.71489150792745
2016-12-29,17529214856.0,15669999616.0,1859215240.0,658673984.0,89.39361942178706,10.606380578212931,3.7575783593898118
2016-12-30,17605666286.0,15630199808.0,1975466478.0,724528000.0,88.77937110752299,11.22062889247701,4.115311447066014
2017-01-03,18458588267.0,16426600448.0,2031987819.0,732988032.0,88.99164015358228,11.008359846417717,3.9709864123814143
2017-01-04,18971554460.0,16795400192.0,2176154268.0,850115008.0,88.52938343777656,11.47061656222344,4.480998169087299
2017-01-05,21057274828.0,18603999232.0,2453275596.0,988598976.0,88.34951048490917,11.650489515090827,4.694809675397566
2017-01-06,18539291139.0,16314099712.0,2225191427.0,901249024.0,87.99742983528104,12.00257016471896,4.861291714137312
2017-01-09,16831714354.0,14694899712.0,2136814642.0,904681984.0,87.30483064850615,12.695169351493856,5.374865358174317
2017-01-10,16670144046.0,14522600448.0,2147543598.0,909897024.0,87.1174262677394,12.882573732260596,5.458243321048744
2017-01-11,16815847754.0,14615700480.0,2200147274.0,925320000.0,86.91622744100637,13.083772558993639,5.502666374818322
2017-01-12,14457951986.0,12477599744.0,1980352242.0,853638016.0,86.30267797321761,13.697322026782391,5.9042803353241124
2017-01-13,14969957312.0,12939100160.0,2030857152.0,863241024.0,86.43378127490013,13.566218725099862,5.766489549759913
2017-01-17,15431186314.0,13383900160.0,2047286154.0,847980992.0,86.73280127437388,13.26719872562612,5.495241744509729
2017-01-18,16802276550.0,14648899584.0,2153376966.0,906078976.0,87.18401664445882,12.815983355541189,5.392596493122237
2017-01-19,16444323015.0,14311700480.0,2132622535.0,901484032.0,87.03125368520985,12.968746314790144,5.482037972482627
2017-01-20,16647893640.0,14472099840.0,2175793800.0,914696000.0,86.93051597367125,13.069484026328752,5.49436475135962
2017-01-23,17126476166.0,14918800384.0,2207675782.0,944158976.0,87.10957373483083,12.890426265169157,5.512861880334572
2017-01-24,16902463426.0,14681400320.0,2221063106.0,946083008.0,86.85953017603649,13.140469823963516,5.597308416858929
2017-01-25,16562590963.0,14380699648.0,2181891315.0,936769024.0,86.82638893954312,13.173611060456883,5.6559328555097155
2017-01-26,16727205419.0,14551199744.0,2176005675.0,932574976.0,86.99121807562469,13.008781924375315,5.575198920799479
2017-01-27,17033501608.0,14810399744.0,2223101864.0,934403968.0,86.9486502824769,13.051349717523095,5.485683387384924
2017-01-30,17087545087.0,14844900352.0,2242644735.0,927414976.0,86.87555922409138,13.12444077590863,5.42743250290275
2017-01-31,17127803551.0,14859700224.0,2268103327.0,933974976.0,86.75776890920974,13.242231090790261,5.4529757608381155
2017-02-01,17963461061.0,15667900416.0,2295560645.0,949969024.0,87.22094457629976,12.779055423700234,5.288340708809467
